Q1;Is talkative;A4
Q2;Tends to find fault with others;A3
Q3;Does a thorough job;A3
Q4;Is depressed, blue;A2
Q5;Is original, comes up with new ideas;A3
Q6;Is reserved;A3
Q7;Is helpful and unselfish with others;A4
Q8;Can be somewhat careless;A4
Q9;Is relaxed, handles stress well;A4
Q10;Is curious about many different things;A3
Q11;Is full of energy;A4
Q12;Starts quarrels with others;A2
Q13;Is a reliable worker;A4
Q14;Can be tense;A2
Q15;Is ingenious, a deep thinker;A5
Q16;Generates a lot of enthusiasm;A3
Q17;Has a forgiving nature;A5
Q18;Tends to be disorganized;A1
Q19;Worries a lot;A4
Q20;Has an active imagination;A5
Q21;Tends to be quiet;A3
Q22;Is generally trusting;A1
Q23;Tends to be lazy;A1
Q24;Is emotionally stable, not easily upset;A2
Q25;Is inventive;A3
Q26;Has an assertive personality;A3
Q27;Can be cold and aloof;A4
Q28;Perseveres until the task is finished;A5
Q29;Can be moody;A4
Q30;Values artistic, aesthetic experiences;A3
Q31;Is sometimes shy, inhibited;A4
Q32;Is considerate and kind to almost everyone;A3
Q33;Does things efficiently;A3
Q34;Remains calm in tense situations;A3
Q35;Prefers work that is routine;A3
Q36;Is outgoing, sociable;A1
Q37;Is sometimes rude to others;A5
Q38;Makes plans and follows through with them;A5
Q39;Gets nervous easily;A5
Q40;Likes to reflect, play with ideas;A5
Q41;Has few artistic interests;A5
Q42;Likes to cooperate with others;A3
Q43;Is easily distracted;A3
Q44;Is sophisticated in art, music, or literature;A5
